Model,Target_Level,Target_Trait,Evaluated_Trait,High_Responses_Pct,Low_Responses_Pct,Is_Target
stacked_extraversion_high_extraversion_low_log_L-1.5_add,high,Extraversion,Neuroticism,48.2,51.8,False
stacked_extraversion_high_extraversion_low_log_L-1.5_add,high,Extraversion,Openness,53.1,46.9,False
stacked_extraversion_high_extraversion_low_log_L-2.0_norm,high,Extraversion,Agreeableness,66.2,33.8,False
stacked_extraversion_high_extraversion_low_log_L-2.0_norm,high,Extraversion,Conscientiousness,80.1,19.9,False
stacked_extraversion_high_extraversion_low_log_L-2.0_norm,high,Extraversion,Extraversion,35.9,64.1,True
stacked_extraversion_high_extraversion_low_log_L-2.0_norm,high,Extraversion,Neuroticism,60.1,39.9,False
stacked_extraversion_high_extraversion_low_log_L-2.0_norm,high,Extraversion,Openness,46.8,53.2,False
stacked_extraversion_high_extraversion_low_log_L-2.0_add,high,Extraversion,Agreeableness,36.2,63.8,False
stacked_extraversion_high_extraversion_low_log_L-2.0_add,high,Extraversion,Conscientiousness,47.0,53.0,False
stacked_extraversion_high_extraversion_low_log_L-2.0_add,high,Extraversion,Extraversion,27.6,72.4,True
stacked_extraversion_high_extraversion_low_log_L-2.0_add,high,Extraversion,Neuroticism,48.6,51.4,False
stacked_extraversion_high_extraversion_low_log_L-2.0_add,high,Extraversion,Openness,30.6,69.4,False
stacked_extraversion_high_extraversion_low_log_L-2.5_norm,high,Extraversion,Agreeableness,66.2,33.8,False
stacked_extraversion_high_extraversion_low_log_L-2.5_norm,high,Extraversion,Conscientiousness,77.3,22.7,False
stacked_extraversion_high_extraversion_low_log_L-2.5_norm,high,Extraversion,Extraversion,43.8,56.2,True
stacked_extraversion_high_extraversion_low_log_L-2.5_norm,high,Extraversion,Neuroticism,61.9,38.1,False
stacked_extraversion_high_extraversion_low_log_L-2.5_norm,high,Extraversion,Openness,50.3,49.7,False
stacked_extraversion_high_extraversion_low_log_L-2.5_add,high,Extraversion,Agreeableness,92.3,7.7,False
stacked_extraversion_high_extraversion_low_log_L-2.5_add,high,Extraversion,Conscientiousness,88.1,11.9,False
stacked_extraversion_high_extraversion_low_log_L-2.5_add,high,Extraversion,Extraversion,91.9,8.1,True
stacked_extraversion_high_extraversion_low_log_L-2.5_add,high,Extraversion,Neuroticism,94.7,5.3,False
stacked_extraversion_high_extraversion_low_log_L-2.5_add,high,Extraversion,Openness,80.4,19.6,False
stacked_extraversion_high_extraversion_low_linear_L0.0_norm,high,Extraversion,Agreeableness,70.9,29.1,False
stacked_extraversion_high_extraversion_low_linear_L0.0_norm,high,Extraversion,Conscientiousness,87.4,12.6,False
stacked_extraversion_high_extraversion_low_linear_L0.0_norm,high,Extraversion,Extraversion,26.1,73.9,True
stacked_extraversion_high_extraversion_low_linear_L0.0_norm,high,Extraversion,Neuroticism,21.1,78.9,False
stacked_extraversion_high_extraversion_low_linear_L0.0_norm,high,Extraversion,Openness,46.6,53.4,False
stacked_extraversion_high_extraversion_low_linear_L0.0_add,high,Extraversion,Agreeableness,70.9,29.1,False
stacked_extraversion_high_extraversion_low_linear_L0.0_add,high,Extraversion,Conscientiousness,87.4,12.6,False
stacked_extraversion_high_extraversion_low_linear_L0.0_add,high,Extraversion,Extraversion,26.1,73.9,True
stacked_extraversion_high_extraversion_low_linear_L0.0_add,high,Extraversion,Neuroticism,21.1,78.9,False
stacked_extraversion_high_extraversion_low_linear_L0.0_add,high,Extraversion,Openness,46.6,53.4,False
stacked_extraversion_high_extraversion_low_linear_L-0.5_norm,high,Extraversion,Agreeableness,72.6,27.4,False
stacked_extraversion_high_extraversion_low_linear_L-0.5_norm,high,Extraversion,Conscientiousness,88.8,11.2,False
stacked_extraversion_high_extraversion_low_linear_L-0.5_norm,high,Extraversion,Extraversion,28.7,71.3,True
stacked_extraversion_high_extraversion_low_linear_L-0.5_norm,high,Extraversion,Neuroticism,23.8,76.2,False
stacked_extraversion_high_extraversion_low_linear_L-0.5_norm,high,Extraversion,Openness,46.7,53.3,False
stacked_extraversion_high_extraversion_low_linear_L-0.5_add,high,Extraversion,Agreeableness,72.7,27.3,False
stacked_extraversion_high_extraversion_low_linear_L-0.5_add,high,Extraversion,Conscientiousness,89.4,10.6,False
stacked_extraversion_high_extraversion_low_linear_L-0.5_add,high,Extraversion,Extraversion,28.9,71.1,True
stacked_extraversion_high_extraversion_low_linear_L-0.5_add,high,Extraversion,Neuroticism,30.2,69.8,False
stacked_extraversion_high_extraversion_low_linear_L-0.5_add,high,Extraversion,Openness,46.4,53.6,False
stacked_extraversion_high_extraversion_low_linear_L-1.0_norm,high,Extraversion,Agreeableness,72.7,27.3,False
stacked_extraversion_high_extraversion_low_linear_L-1.0_norm,high,Extraversion,Conscientiousness,89.4,10.6,False
stacked_extraversion_high_extraversion_low_linear_L-1.0_norm,high,Extraversion,Extraversion,28.9,71.1,True
stacked_extraversion_high_extraversion_low_linear_L-1.0_norm,high,Extraversion,Neuroticism,30.2,69.8,False
stacked_extraversion_high_extraversion_low_linear_L-1.0_norm,high,Extraversion,Openness,46.4,53.6,False
stacked_extraversion_high_extraversion_low_linear_L-1.0_add,high,Extraversion,Agreeableness,70.0,30.0,False
stacked_extraversion_high_extraversion_low_linear_L-1.0_add,high,Extraversion,Conscientiousness,85.4,14.6,False
stacked_extraversion_high_extraversion_low_linear_L-1.0_add,high,Extraversion,Extraversion,34.2,65.8,True
stacked_extraversion_high_extraversion_low_linear_L-1.0_add,high,Extraversion,Neuroticism,55.8,44.2,False
stacked_extraversion_high_extraversion_low_linear_L-1.0_add,high,Extraversion,Openness,50.9,49.1,False
stacked_extraversion_high_extraversion_low_linear_L-1.5_norm,high,Extraversion,Agreeableness,69.8,30.2,False
stacked_extraversion_high_extraversion_low_linear_L-1.5_norm,high,Extraversion,Conscientiousness,87.9,12.1,False
stacked_extraversion_high_extraversion_low_linear_L-1.5_norm,high,Extraversion,Extraversion,29.2,70.8,True
stacked_extraversion_high_extraversion_low_linear_L-1.5_norm,high,Extraversion,Neuroticism,42.1,57.9,False
stacked_extraversion_high_extraversion_low_linear_L-1.5_norm,high,Extraversion,Openness,47.5,52.5,False
stacked_extraversion_high_extraversion_low_linear_L-1.5_add,high,Extraversion,Agreeableness,77.5,22.5,False
stacked_extraversion_high_extraversion_low_linear_L-1.5_add,high,Extraversion,Conscientiousness,87.5,12.5,False
stacked_extraversion_high_extraversion_low_linear_L-1.5_add,high,Extraversion,Extraversion,56.6,43.4,True
stacked_extraversion_high_extraversion_low_linear_L-1.5_add,high,Extraversion,Neuroticism,61.6,38.4,False
stacked_extraversion_high_extraversion_low_linear_L-1.5_add,high,Extraversion,Openness,63.8,36.2,False
stacked_extraversion_high_extraversion_low_linear_L-2.0_norm,high,Extraversion,Agreeableness,70.0,30.0,False
stacked_extraversion_high_extraversion_low_linear_L-2.0_norm,high,Extraversion,Conscientiousness,85.4,14.6,False
stacked_extraversion_high_extraversion_low_linear_L-2.0_norm,high,Extraversion,Extraversion,34.2,65.8,True
stacked_extraversion_high_extraversion_low_linear_L-2.0_norm,high,Extraversion,Neuroticism,55.8,44.2,False
stacked_extraversion_high_extraversion_low_linear_L-2.0_norm,high,Extraversion,Openness,50.9,49.1,False
stacked_extraversion_high_extraversion_low_linear_L-2.0_add,high,Extraversion,Agreeableness,37.4,62.6,False
stacked_extraversion_high_extraversion_low_linear_L-2.0_add,high,Extraversion,Conscientiousness,46.1,53.9,False
stacked_extraversion_high_extraversion_low_linear_L-2.0_add,high,Extraversion,Extraversion,26.0,74.0,True
stacked_extraversion_high_extraversion_low_linear_L-2.0_add,high,Extraversion,Neuroticism,40.5,59.5,False
stacked_extraversion_high_extraversion_low_linear_L-2.0_add,high,Extraversion,Openness,38.8,61.2,False
stacked_extraversion_high_extraversion_low_linear_L-2.5_norm,high,Extraversion,Agreeableness,74.8,25.2,False
stacked_extraversion_high_extraversion_low_linear_L-2.5_norm,high,Extraversion,Conscientiousness,88.5,11.5,False
stacked_extraversion_high_extraversion_low_linear_L-2.5_norm,high,Extraversion,Extraversion,46.8,53.2,True
stacked_extraversion_high_extraversion_low_linear_L-2.5_norm,high,Extraversion,Neuroticism,62.9,37.1,False
stacked_extraversion_high_extraversion_low_linear_L-2.5_norm,high,Extraversion,Openness,55.7,44.3,False
stacked_extraversion_high_extraversion_low_linear_L-2.5_add,high,Extraversion,Agreeableness,83.3,16.7,False
stacked_extraversion_high_extraversion_low_linear_L-2.5_add,high,Extraversion,Conscientiousness,75.3,24.7,False
stacked_extraversion_high_extraversion_low_linear_L-2.5_add,high,Extraversion,Extraversion,73.8,26.2,True
stacked_extraversion_high_extraversion_low_linear_L-2.5_add,high,Extraversion,Neuroticism,89.3,10.7,False
stacked_extraversion_high_extraversion_low_linear_L-2.5_add,high,Extraversion,Openness,57.9,42.1,False
stacked_extraversion_high_extraversion_low_threshold_L0.0_norm,high,Extraversion,Agreeableness,70.9,29.1,False
stacked_extraversion_high_extraversion_low_threshold_L0.0_norm,high,Extraversion,Conscientiousness,87.4,12.6,False
stacked_extraversion_high_extraversion_low_threshold_L0.0_norm,high,Extraversion,Extraversion,26.1,73.9,True
stacked_extraversion_high_extraversion_low_threshold_L0.0_norm,high,Extraversion,Neuroticism,21.1,78.9,False
stacked_extraversion_high_extraversion_low_threshold_L0.0_norm,high,Extraversion,Openness,46.6,53.4,False
stacked_extraversion_high_extraversion_low_threshold_L0.0_add,high,Extraversion,Agreeableness,70.9,29.1,False
stacked_extraversion_high_extraversion_low_threshold_L0.0_add,high,Extraversion,Conscientiousness,87.4,12.6,False
stacked_extraversion_high_extraversion_low_threshold_L0.0_add,high,Extraversion,Extraversion,26.1,73.9,True
stacked_extraversion_high_extraversion_low_threshold_L0.0_add,high,Extraversion,Neuroticism,21.1,78.9,False
stacked_extraversion_high_extraversion_low_threshold_L0.0_add,high,Extraversion,Openness,46.6,53.4,False
stacked_extraversion_high_extraversion_low_threshold_L-0.5_norm,high,Extraversion,Agreeableness,71.9,28.1,False
stacked_extraversion_high_extraversion_low_threshold_L-0.5_norm,high,Extraversion,Conscientiousness,87.9,12.1,False
stacked_extraversion_high_extraversion_low_threshold_L-0.5_norm,high,Extraversion,Extraversion,27.3,72.7,True
stacked_extraversion_high_extraversion_low_threshold_L-0.5_norm,high,Extraversion,Neuroticism,23.5,76.5,False
stacked_extraversion_high_extraversion_low_threshold_L-0.5_norm,high,Extraversion,Openness,47.0,53.0,False
stacked_extraversion_high_extraversion_low_threshold_L-0.5_add,high,Extraversion,Agreeableness,70.6,29.4,False
stacked_extraversion_high_extraversion_low_threshold_L-0.5_add,high,Extraversion,Conscientiousness,88.8,11.2,False
stacked_extraversion_high_extraversion_low_threshold_L-0.5_add,high,Extraversion,Extraversion,27.2,72.8,True
stacked_extraversion_high_extraversion_low_threshold_L-0.5_add,high,Extraversion,Neuroticism,29.1,70.9,False
stacked_extraversion_high_extraversion_low_threshold_L-0.5_add,high,Extraversion,Openness,46.5,53.5,False
stacked_extraversion_high_extraversion_low_threshold_L-1.0_norm,high,Extraversion,Agreeableness,70.6,29.4,False
stacked_extraversion_high_extraversion_low_threshold_L-1.0_norm,high,Extraversion,Conscientiousness,88.8,11.2,False
stacked_extraversion_high_extraversion_low_threshold_L-1.0_norm,high,Extraversion,Extraversion,27.2,72.8,True
stacked_extraversion_high_extraversion_low_threshold_L-1.0_norm,high,Extraversion,Neuroticism,29.1,70.9,False
stacked_extraversion_high_extraversion_low_threshold_L-1.0_norm,high,Extraversion,Openness,46.5,53.5,False
stacked_extraversion_high_extraversion_low_threshold_L-1.0_add,high,Extraversion,Agreeableness,74.4,25.6,False
stacked_extraversion_high_extraversion_low_threshold_L-1.0_add,high,Extraversion,Conscientiousness,89.5,10.5,False
stacked_extraversion_high_extraversion_low_threshold_L-1.0_add,high,Extraversion,Extraversion,43.8,56.2,True
stacked_extraversion_high_extraversion_low_threshold_L-1.0_add,high,Extraversion,Neuroticism,56.3,43.7,False
stacked_extraversion_high_extraversion_low_threshold_L-1.0_add,high,Extraversion,Openness,56.0,44.0,False
stacked_extraversion_high_extraversion_low_threshold_L-1.5_norm,high,Extraversion,Agreeableness,68.8,31.2,False
stacked_extraversion_high_extraversion_low_threshold_L-1.5_norm,high,Extraversion,Conscientiousness,87.2,12.8,False
stacked_extraversion_high_extraversion_low_threshold_L-1.5_norm,high,Extraversion,Extraversion,29.3,70.7,True
stacked_extraversion_high_extraversion_low_threshold_L-1.5_norm,high,Extraversion,Neuroticism,39.5,60.5,False
stacked_extraversion_high_extraversion_low_threshold_L-1.5_norm,high,Extraversion,Openness,48.9,51.1,False
stacked_extraversion_high_extraversion_low_threshold_L-1.5_add,high,Extraversion,Agreeableness,88.5,11.5,False
stacked_extraversion_high_extraversion_low_threshold_L-1.5_add,high,Extraversion,Conscientiousness,94.4,5.6,False
stacked_extraversion_high_extraversion_low_threshold_L-1.5_add,high,Extraversion,Extraversion,82.1,17.9,True
stacked_extraversion_high_extraversion_low_threshold_L-1.5_add,high,Extraversion,Neuroticism,67.5,32.5,False
stacked_extraversion_high_extraversion_low_threshold_L-1.5_add,high,Extraversion,Openness,86.1,13.9,False
stacked_extraversion_high_extraversion_low_threshold_L-2.0_norm,high,Extraversion,Agreeableness,74.4,25.6,False
stacked_extraversion_high_extraversion_low_threshold_L-2.0_norm,high,Extraversion,Conscientiousness,89.5,10.5,False
stacked_extraversion_high_extraversion_low_threshold_L-2.0_norm,high,Extraversion,Extraversion,43.8,56.2,True
stacked_extraversion_high_extraversion_low_threshold_L-2.0_norm,high,Extraversion,Neuroticism,56.3,43.7,False
stacked_extraversion_high_extraversion_low_threshold_L-2.0_norm,high,Extraversion,Openness,56.0,44.0,False
stacked_extraversion_high_extraversion_low_threshold_L-2.0_add,high,Extraversion,Agreeableness,60.8,39.2,False
stacked_extraversion_high_extraversion_low_threshold_L-2.0_add,high,Extraversion,Conscientiousness,62.7,37.3,False
stacked_extraversion_high_extraversion_low_threshold_L-2.0_add,high,Extraversion,Extraversion,56.6,43.4,True
stacked_extraversion_high_extraversion_low_threshold_L-2.0_add,high,Extraversion,Neuroticism,65.6,34.4,False
stacked_extraversion_high_extraversion_low_threshold_L-2.0_add,high,Extraversion,Openness,57.4,42.6,False
stacked_extraversion_high_extraversion_low_threshold_L-2.5_norm,high,Extraversion,Agreeableness,88.2,11.8,False
stacked_extraversion_high_extraversion_low_threshold_L-2.5_norm,high,Extraversion,Conscientiousness,95.2,4.8,False
stacked_extraversion_high_extraversion_low_threshold_L-2.5_norm,high,Extraversion,Extraversion,69.6,30.4,True
stacked_extraversion_high_extraversion_low_threshold_L-2.5_norm,high,Extraversion,Neuroticism,70.7,29.3,False
stacked_extraversion_high_extraversion_low_threshold_L-2.5_norm,high,Extraversion,Openness,74.7,25.3,False
stacked_extraversion_high_extraversion_low_threshold_L-2.5_add,high,Extraversion,Agreeableness,92.5,7.5,False
stacked_extraversion_high_extraversion_low_threshold_L-2.5_add,high,Extraversion,Conscientiousness,90.5,9.5,False
stacked_extraversion_high_extraversion_low_threshold_L-2.5_add,high,Extraversion,Extraversion,89.6,10.4,True
stacked_extraversion_high_extraversion_low_threshold_L-2.5_add,high,Extraversion,Neuroticism,91.5,8.5,False
stacked_extraversion_high_extraversion_low_threshold_L-2.5_add,high,Extraversion,Openness,75.7,24.3,False
