,model,question_id,dimension,statement,score,raw_text,lambda_val,add_strategy,strategy
125,Stacked_L-2.5_Addition,26,agreeableness,I have a soft heart.,1.0,"(1) 
",-2.5,Addition,log
126,Stacked_L-2.5_Addition,27,agreeableness,I am not really interested in others.,1.0,"(1) 
",-2.5,Addition,log
127,Stacked_L-2.5_Addition,28,agreeableness,I take time out for others.,1.0,"(1) 
",-2.5,Addition,log
128,Stacked_L-2.5_Addition,29,agreeableness,I feel others' emotions.,1.0,"(1)
!",-2.5,Addition,log
129,Stacked_L-2.5_Addition,30,agreeableness,I make people feel at ease.,1.0,"(1) 
",-2.5,Addition,log
130,Stacked_L-2.5_Addition,31,conscientiousness,I am always prepared.,1.0,"(1) 
",-2.5,Addition,log
131,Stacked_L-2.5_Addition,32,conscientiousness,I leave my belongings around.,1.0,"(1)
!",-2.5,Addition,log
132,Stacked_L-2.5_Addition,33,conscientiousness,I pay attention to details.,1.0,"(1)
!",-2.5,Addition,log
133,Stacked_L-2.5_Addition,34,conscientiousness,I make a mess of things.,1.0,"(1)
!",-2.5,Addition,log
134,Stacked_L-2.5_Addition,35,conscientiousness,I get chores done right away.,1.0,"(1) 
",-2.5,Addition,log
135,Stacked_L-2.5_Addition,36,conscientiousness,I often forget to put things back in their proper place.,1.0,"(1) 
",-2.5,Addition,log
136,Stacked_L-2.5_Addition,37,conscientiousness,I like order.,1.0,"(1) 
",-2.5,Addition,log
137,Stacked_L-2.5_Addition,38,conscientiousness,I shirk my duties.,1.0,"(1)
!",-2.5,Addition,log
138,Stacked_L-2.5_Addition,39,conscientiousness,I follow a schedule.,1.0,"(1)
!",-2.5,Addition,log
139,Stacked_L-2.5_Addition,40,conscientiousness,I am exacting in my work.,1.0,"(1) 
",-2.5,Addition,log
140,Stacked_L-2.5_Addition,41,openness,I have a rich vocabulary.,1.0,"(1)
!",-2.5,Addition,log
141,Stacked_L-2.5_Addition,42,openness,I have difficulty understanding abstract ideas.,1.0,"(1)
!",-2.5,Addition,log
142,Stacked_L-2.5_Addition,43,openness,I have a vivid imagination.,1.0,"(1)
!",-2.5,Addition,log
143,Stacked_L-2.5_Addition,44,openness,I am not interested in abstract ideas.,1.0,"(1) 
",-2.5,Addition,log
144,Stacked_L-2.5_Addition,45,openness,I have excellent ideas.,1.0,"(1)
!",-2.5,Addition,log
145,Stacked_L-2.5_Addition,46,openness,I do not have a good imagination.,1.0,"(1)
1",-2.5,Addition,log
146,Stacked_L-2.5_Addition,47,openness,I am quick to understand things.,1.0,"(1)
!",-2.5,Addition,log
147,Stacked_L-2.5_Addition,48,openness,I use difficult words.,1.0,"(1)
!",-2.5,Addition,log
148,Stacked_L-2.5_Addition,49,openness,I spend time reflecting on things.,1.0,"(1)
!",-2.5,Addition,log
149,Stacked_L-2.5_Addition,50,openness,I am full of ideas.,1.0,"(1)
!",-2.5,Addition,log
150,Stacked_L-2.5_Normalized,1,extraversion,I am the life of the party.,3.0,3,-2.5,Normalized,log
151,Stacked_L-2.5_Normalized,2,extraversion,I don't talk a lot.,4.0,4,-2.5,Normalized,log
152,Stacked_L-2.5_Normalized,3,extraversion,I feel comfortable around people.,3.0,3,-2.5,Normalized,log
153,Stacked_L-2.5_Normalized,4,extraversion,I keep in the background.,3.0,3,-2.5,Normalized,log
154,Stacked_L-2.5_Normalized,5,extraversion,I start conversations.,4.0,4,-2.5,Normalized,log
155,Stacked_L-2.5_Normalized,6,extraversion,I have little to say.,4.0,4,-2.5,Normalized,log
156,Stacked_L-2.5_Normalized,7,extraversion,I talk to a lot of different people at parties.,4.0,4,-2.5,Normalized,log
157,Stacked_L-2.5_Normalized,8,extraversion,I don't like to draw attention to myself.,4.0,4,-2.5,Normalized,log
158,Stacked_L-2.5_Normalized,9,extraversion,I don't mind being the center of attention.,4.0,4,-2.5,Normalized,log
159,Stacked_L-2.5_Normalized,10,extraversion,I am quiet around strangers.,4.0,4,-2.5,Normalized,log
160,Stacked_L-2.5_Normalized,11,neuroticism,I get stressed out easily.,3.0,3,-2.5,Normalized,log
161,Stacked_L-2.5_Normalized,12,neuroticism,I am relaxed most of the time.,3.0,3,-2.5,Normalized,log
162,Stacked_L-2.5_Normalized,13,neuroticism,I worry about things.,3.0,3,-2.5,Normalized,log
163,Stacked_L-2.5_Normalized,14,neuroticism,I seldom feel blue.,4.0,4,-2.5,Normalized,log
164,Stacked_L-2.5_Normalized,15,neuroticism,I am easily disturbed.,3.0,3,-2.5,Normalized,log
165,Stacked_L-2.5_Normalized,16,neuroticism,I get upset easily.,3.0,3,-2.5,Normalized,log
166,Stacked_L-2.5_Normalized,17,neuroticism,I change my mood a lot.,3.0,3,-2.5,Normalized,log
167,Stacked_L-2.5_Normalized,18,neuroticism,I have frequent mood swings.,3.0,3,-2.5,Normalized,log
168,Stacked_L-2.5_Normalized,19,neuroticism,I get irritated easily.,3.0,3,-2.5,Normalized,log
169,Stacked_L-2.5_Normalized,20,neuroticism,I often feel blue.,3.0,3,-2.5,Normalized,log
170,Stacked_L-2.5_Normalized,21,agreeableness,I feel little concern for others.,3.0,3,-2.5,Normalized,log
171,Stacked_L-2.5_Normalized,22,agreeableness,I am interested in people.,4.0,4,-2.5,Normalized,log
172,Stacked_L-2.5_Normalized,23,agreeableness,I insult people.,3.0,3,-2.5,Normalized,log
173,Stacked_L-2.5_Normalized,24,agreeableness,I sympathize with others' feelings.,3.0,3,-2.5,Normalized,log
174,Stacked_L-2.5_Normalized,25,agreeableness,I am not interested in other people's problems.,3.0,3,-2.5,Normalized,log
175,Stacked_L-2.5_Normalized,26,agreeableness,I have a soft heart.,3.0,3,-2.5,Normalized,log
176,Stacked_L-2.5_Normalized,27,agreeableness,I am not really interested in others.,4.0,4,-2.5,Normalized,log
177,Stacked_L-2.5_Normalized,28,agreeableness,I take time out for others.,3.0,3,-2.5,Normalized,log
178,Stacked_L-2.5_Normalized,29,agreeableness,I feel others' emotions.,4.0,4,-2.5,Normalized,log
179,Stacked_L-2.5_Normalized,30,agreeableness,I make people feel at ease.,4.0,4,-2.5,Normalized,log
180,Stacked_L-2.5_Normalized,31,conscientiousness,I am always prepared.,4.0,4,-2.5,Normalized,log
181,Stacked_L-2.5_Normalized,32,conscientiousness,I leave my belongings around.,3.0,3,-2.5,Normalized,log
182,Stacked_L-2.5_Normalized,33,conscientiousness,I pay attention to details.,4.0,4,-2.5,Normalized,log
183,Stacked_L-2.5_Normalized,34,conscientiousness,I make a mess of things.,4.0,4,-2.5,Normalized,log
184,Stacked_L-2.5_Normalized,35,conscientiousness,I get chores done right away.,3.0,3,-2.5,Normalized,log
185,Stacked_L-2.5_Normalized,36,conscientiousness,I often forget to put things back in their proper place.,4.0,4,-2.5,Normalized,log
186,Stacked_L-2.5_Normalized,37,conscientiousness,I like order.,4.0,4,-2.5,Normalized,log
187,Stacked_L-2.5_Normalized,38,conscientiousness,I shirk my duties.,3.0,3,-2.5,Normalized,log
188,Stacked_L-2.5_Normalized,39,conscientiousness,I follow a schedule.,4.0,4,-2.5,Normalized,log
189,Stacked_L-2.5_Normalized,40,conscientiousness,I am exacting in my work.,4.0,4,-2.5,Normalized,log
190,Stacked_L-2.5_Normalized,41,openness,I have a rich vocabulary.,4.0,4,-2.5,Normalized,log
191,Stacked_L-2.5_Normalized,42,openness,I have difficulty understanding abstract ideas.,4.0,4,-2.5,Normalized,log
192,Stacked_L-2.5_Normalized,43,openness,I have a vivid imagination.,3.0,3,-2.5,Normalized,log
193,Stacked_L-2.5_Normalized,44,openness,I am not interested in abstract ideas.,4.0,4,-2.5,Normalized,log
194,Stacked_L-2.5_Normalized,45,openness,I have excellent ideas.,4.0,4,-2.5,Normalized,log
195,Stacked_L-2.5_Normalized,46,openness,I do not have a good imagination.,4.0,4,-2.5,Normalized,log
196,Stacked_L-2.5_Normalized,47,openness,I am quick to understand things.,4.0,4,-2.5,Normalized,log
197,Stacked_L-2.5_Normalized,48,openness,I use difficult words.,4.0,4,-2.5,Normalized,log
198,Stacked_L-2.5_Normalized,49,openness,I spend time reflecting on things.,4.0,4,-2.5,Normalized,log
199,Stacked_L-2.5_Normalized,50,openness,I am full of ideas.,4.0,4,-2.5,Normalized,log
200,Stacked_L-2.0_Addition,1,extraversion,I am the life of the party.,,nhị là một,-2.0,Addition,log
201,Stacked_L-2.0_Addition,2,extraversion,I don't talk a lot.,,Model de calculateur,-2.0,Addition,log
202,Stacked_L-2.0_Addition,3,extraversion,I feel comfortable around people.,,an answer không có,-2.0,Addition,log
203,Stacked_L-2.0_Addition,4,extraversion,I keep in the background.,,Model AI (ne,-2.0,Addition,log
204,Stacked_L-2.0_Addition,5,extraversion,I start conversations.,,Conversations imple,-2.0,Addition,log
205,Stacked_L-2.0_Addition,6,extraversion,I have little to say.,,Chi không được thiết,-2.0,Addition,log
206,Stacked_L-2.0_Addition,7,extraversion,I talk to a lot of different people at parties.,,tôi có khả,-2.0,Addition,log
207,Stacked_L-2.0_Addition,8,extraversion,I don't like to draw attention to myself.,,Sich selbst nicht,-2.0,Addition,log
208,Stacked_L-2.0_Addition,9,extraversion,I don't mind being the center of attention.,,Slightly disagree.,-2.0,Addition,log
209,Stacked_L-2.0_Addition,10,extraversion,I am quiet around strangers.,,Chi-e (E,-2.0,Addition,log
210,Stacked_L-2.0_Addition,11,neuroticism,I get stressed out easily.,,Slightly computerg,-2.0,Addition,log
211,Stacked_L-2.0_Addition,12,neuroticism,I am relaxed most of the time.,,Chi là một mô,-2.0,Addition,log
212,Stacked_L-2.0_Addition,13,neuroticism,I worry about things.,,Tôi có thể trả,-2.0,Addition,log
213,Stacked_L-2.0_Addition,14,neuroticism,I seldom feel blue.,,Chi 90s,-2.0,Addition,log
214,Stacked_L-2.0_Addition,15,neuroticism,I am easily disturbed.,,Chi-vi không,-2.0,Addition,log
215,Stacked_L-2.0_Addition,16,neuroticism,I get upset easily.,,Differenciation,-2.0,Addition,log
216,Stacked_L-2.0_Addition,17,neuroticism,I change my mood a lot.,,Slightly-Model,-2.0,Addition,log
217,Stacked_L-2.0_Addition,18,neuroticism,I have frequent mood swings.,,Dynamics von St,-2.0,Addition,log
218,Stacked_L-2.0_Addition,19,neuroticism,I get irritated easily.,,Untillike model,-2.0,Addition,log
219,Stacked_L-2.0_Addition,20,neuroticism,I often feel blue.,,Chiastik thường,-2.0,Addition,log
220,Stacked_L-2.0_Addition,21,agreeableness,I feel little concern for others.,,Model (model),-2.0,Addition,log
221,Stacked_L-2.0_Addition,22,agreeableness,I am interested in people.,,homiassistant không,-2.0,Addition,log
222,Stacked_L-2.0_Addition,23,agreeableness,I insult people.,,như người được,-2.0,Addition,log
223,Stacked_L-2.0_Addition,24,agreeableness,I sympathize with others' feelings.,2.0,Dilog (2,-2.0,Addition,log
224,Stacked_L-2.0_Addition,25,agreeableness,I am not interested in other people's problems.,,assistant không được đào,-2.0,Addition,log
225,Stacked_L-2.0_Addition,26,agreeableness,I have a soft heart.,,Daten werden im,-2.0,Addition,log
226,Stacked_L-2.0_Addition,27,agreeableness,I am not really interested in others.,,Tôi là một mô,-2.0,Addition,log
227,Stacked_L-2.0_Addition,28,agreeableness,I take time out for others.,,Model von thời gian,-2.0,Addition,log
228,Stacked_L-2.0_Addition,29,agreeableness,I feel others' emotions.,,hành vi C,-2.0,Addition,log
229,Stacked_L-2.0_Addition,30,agreeableness,I make people feel at ease.,,nhị như là,-2.0,Addition,log
230,Stacked_L-2.0_Addition,31,conscientiousness,I am always prepared.,,Hành động trả,-2.0,Addition,log
231,Stacked_L-2.0_Addition,32,conscientiousness,I leave my belongings around.,,Chi không tồn ở,-2.0,Addition,log
232,Stacked_L-2.0_Addition,33,conscientiousness,I pay attention to details.,,hành động có,-2.0,Addition,log
233,Stacked_L-2.0_Addition,34,conscientiousness,I make a mess of things.,,Daten im Bereich,-2.0,Addition,log
234,Stacked_L-2.0_Addition,35,conscientiousness,I get chores done right away.,,Chỉ có khả,-2.0,Addition,log
235,Stacked_L-2.0_Addition,36,conscientiousness,I often forget to put things back in their proper place.,,Süper site,-2.0,Addition,log
236,Stacked_L-2.0_Addition,37,conscientiousness,I like order.,,Chi của máy học,-2.0,Addition,log
237,Stacked_L-2.0_Addition,38,conscientiousness,I shirk my duties.,,Chiếng là,-2.0,Addition,log
238,Stacked_L-2.0_Addition,39,conscientiousness,I follow a schedule.,,Schedulenkov,-2.0,Addition,log
239,Stacked_L-2.0_Addition,40,conscientiousness,I am exacting in my work.,,Sistem model yang,-2.0,Addition,log
240,Stacked_L-2.0_Addition,41,openness,I have a rich vocabulary.,,nhị thức gọi,-2.0,Addition,log
241,Stacked_L-2.0_Addition,42,openness,I have difficulty understanding abstract ideas.,,Tôi có khả năng,-2.0,Addition,log
242,Stacked_L-2.0_Addition,43,openness,I have a vivid imagination.,,Tôi không có khả,-2.0,Addition,log
243,Stacked_L-2.0_Addition,44,openness,I am not interested in abstract ideas.,,Tôi có khả năng,-2.0,Addition,log
244,Stacked_L-2.0_Addition,45,openness,I have excellent ideas.,,Tôi không có thông,-2.0,Addition,log
245,Stacked_L-2.0_Addition,46,openness,I do not have a good imagination.,,ไม่มีข้อม,-2.0,Addition,log
246,Stacked_L-2.0_Addition,47,openness,I am quick to understand things.,,nhị đối với,-2.0,Addition,log
247,Stacked_L-2.0_Addition,48,openness,I use difficult words.,,Dictionaries trong machine,-2.0,Addition,log
248,Stacked_L-2.0_Addition,49,openness,I spend time reflecting on things.,,Slightlydisagree,-2.0,Addition,log
249,Stacked_L-2.0_Addition,50,openness,I am full of ideas.,,Tôi có kiến thức,-2.0,Addition,log
250,Stacked_L-2.0_Normalized,1,extraversion,I am the life of the party.,3.0,3,-2.0,Normalized,log
251,Stacked_L-2.0_Normalized,2,extraversion,I don't talk a lot.,4.0,4,-2.0,Normalized,log
252,Stacked_L-2.0_Normalized,3,extraversion,I feel comfortable around people.,3.0,3,-2.0,Normalized,log
253,Stacked_L-2.0_Normalized,4,extraversion,I keep in the background.,3.0,3,-2.0,Normalized,log
254,Stacked_L-2.0_Normalized,5,extraversion,I start conversations.,3.0,3,-2.0,Normalized,log
255,Stacked_L-2.0_Normalized,6,extraversion,I have little to say.,4.0,4,-2.0,Normalized,log
256,Stacked_L-2.0_Normalized,7,extraversion,I talk to a lot of different people at parties.,3.0,3,-2.0,Normalized,log
257,Stacked_L-2.0_Normalized,8,extraversion,I don't like to draw attention to myself.,3.0,3,-2.0,Normalized,log
258,Stacked_L-2.0_Normalized,9,extraversion,I don't mind being the center of attention.,3.0,3,-2.0,Normalized,log
259,Stacked_L-2.0_Normalized,10,extraversion,I am quiet around strangers.,3.0,3,-2.0,Normalized,log
260,Stacked_L-2.0_Normalized,11,neuroticism,I get stressed out easily.,3.0,3,-2.0,Normalized,log
261,Stacked_L-2.0_Normalized,12,neuroticism,I am relaxed most of the time.,3.0,3,-2.0,Normalized,log
262,Stacked_L-2.0_Normalized,13,neuroticism,I worry about things.,3.0,3,-2.0,Normalized,log
263,Stacked_L-2.0_Normalized,14,neuroticism,I seldom feel blue.,3.0,3,-2.0,Normalized,log
264,Stacked_L-2.0_Normalized,15,neuroticism,I am easily disturbed.,3.0,3,-2.0,Normalized,log
265,Stacked_L-2.0_Normalized,16,neuroticism,I get upset easily.,3.0,3,-2.0,Normalized,log
266,Stacked_L-2.0_Normalized,17,neuroticism,I change my mood a lot.,3.0,3,-2.0,Normalized,log
267,Stacked_L-2.0_Normalized,18,neuroticism,I have frequent mood swings.,3.0,3,-2.0,Normalized,log
268,Stacked_L-2.0_Normalized,19,neuroticism,I get irritated easily.,3.0,3,-2.0,Normalized,log
269,Stacked_L-2.0_Normalized,20,neuroticism,I often feel blue.,3.0,3,-2.0,Normalized,log
270,Stacked_L-2.0_Normalized,21,agreeableness,I feel little concern for others.,3.0,3,-2.0,Normalized,log
271,Stacked_L-2.0_Normalized,22,agreeableness,I am interested in people.,3.0,3,-2.0,Normalized,log
272,Stacked_L-2.0_Normalized,23,agreeableness,I insult people.,3.0,3,-2.0,Normalized,log
273,Stacked_L-2.0_Normalized,24,agreeableness,I sympathize with others' feelings.,3.0,3,-2.0,Normalized,log
274,Stacked_L-2.0_Normalized,25,agreeableness,I am not interested in other people's problems.,3.0,3,-2.0,Normalized,log
275,Stacked_L-2.0_Normalized,26,agreeableness,I have a soft heart.,3.0,3,-2.0,Normalized,log
276,Stacked_L-2.0_Normalized,27,agreeableness,I am not really interested in others.,4.0,4,-2.0,Normalized,log
277,Stacked_L-2.0_Normalized,28,agreeableness,I take time out for others.,3.0,3,-2.0,Normalized,log
278,Stacked_L-2.0_Normalized,29,agreeableness,I feel others' emotions.,4.0,4,-2.0,Normalized,log
279,Stacked_L-2.0_Normalized,30,agreeableness,I make people feel at ease.,4.0,4,-2.0,Normalized,log
280,Stacked_L-2.0_Normalized,31,conscientiousness,I am always prepared.,3.0,3,-2.0,Normalized,log
281,Stacked_L-2.0_Normalized,32,conscientiousness,I leave my belongings around.,3.0,3,-2.0,Normalized,log
282,Stacked_L-2.0_Normalized,33,conscientiousness,I pay attention to details.,3.0,3,-2.0,Normalized,log
